RHS	RHO	RTS	RTO
70	155	137	191
272	358	334	398
468	546	532	583
669	750	729	789
869	954	939	987
1068	1147	1132	1185
1266	1356	1339	1391
1470	1550	1535	1586
1665	1745	1729	1782
1863	1942	1928	1977
2056	2135	2117	2174
2258	2334	2316	2372
2453	2530	2515	2565
2650	2720	2706	2762
2850	2933	2919	2964
3048	3123	3107	3169
3248	3330	3314	3366
3449	3534	3517	3563
3652	3726	3709	3762
3846	3919	3904	3959
4040	4116	4102	4155
4232	4310	4296	4348
4428	4502	4486	4540
4620	4701	4686	4736
4814	4889	4873	4927
5010	5086	5069	5123
5203	5272	5256	5318
5396	5465	5450	5514
5590	5660	5645	5704
5783	5850	5836	5894
5973	6047	6034	6087
6167	6245	6231	6284
6365	6427	6412	6477
6559	6629	6615	6668
6752	6827	6812	6863
6946	7023	7007	7062
7145	7214	7199	7257
7336	7421	7404	7455
7532	7610	7592	7650
7726	7802	7787	7840
7919	7985	7972	8031
8111	8188	8173	8227
8310	8384	8369	8424
8506	8587	8570	8627
