RHS	RHO	RTS	RTO
44	132	112	163
243	323	302	363
459	537	512	578
671	748	723	788
871	955	932	987
1073	1156	1129	1190
1276	1356	1334	1396
1475	1555	1529	1590
1673	1752	1734	1792
1876	1957	1937	1995
2076	2150	2130	2187
2239	2309	2289	2358
2431	2503	2480	2545
2623	2685	2660	2740
2821	2901	2880	2933
3009	3078	3062	3122
3201	3274	3250	3313
3398	3476	3459	3520
3602	3677	3657	3714
3797	3869	3844	3907
3989	4065	4048	4104
4185	4257	4240	4300
4378	4446	4425	4494
4576	4649	4632	4688
4773	4845	4818	4885
4974	5066	5043	5092
5179	5241	5220	5295
5379	5445	5427	5500
5584	5666	5650	5704
5784	5872	5855	5906
5981	6063	6040	6107
6190	6268	6248	6306
6393	6482	6458	6512
6596	6688	6667	6732
6797	6888	6865	6922
7003	7088	7062	7125
7209	7298	7272	7333
